Time (s),PL (norm.),QFLS (eV),tau_diff(s)
1.0000007031484048,2.723583395752241e+33,1.431245769955069,1.176464878146392e-06
1.0000007099537864,2.692341141152248e+33,1.4309475189447767,1.1829549885567094e-06
1.000000716759168,2.6616253605229286e+33,1.4306509005941006,1.189445877365774e-06
1.000000725089287,2.624727319755436e+33,1.4302900216289212,1.1973984068387165e-06
1.000000733419406,2.5885803056370497e+33,1.4299315346552541,1.2053570623050568e-06
1.0000007417495251,2.55316395397242e+33,1.429575405474052,1.213309553720289e-06
1.0000007481884234,2.5262764509844405e+33,1.4293017236207786,1.2194490435252318e-06
1.0000007546273217,2.499804868341818e+33,1.429029414771363,1.2256007294613646e-06
1.00000076106622,2.4737415238609172e+33,1.428758473421784,1.2317782689675102e-06
1.0000007675364706,2.4479544306662748e+33,1.428487579708524,1.2379875285557691e-06
1.0000007740067212,2.422563038097434e+33,1.4282180400383928,1.2441851320518996e-06
1.0000007804769717,2.3975591070014437e+33,1.4279498383616633,1.2503768640644228e-06
1.000000787252278,2.3717831498267592e+33,1.4276704116731405,1.2568669012420963e-06
1.0000007940275843,2.3464150554113022e+33,1.4273924255014743,1.2633656844863562e-06
1.0000008008028907,2.3214464199116523e+33,1.4271158661580128,1.2698638393888151e-06
1.0000008091214307,2.2913246879492095e+33,1.4267782435259284,1.2778481801247099e-06
1.0000008174399708,2.2617780138378814e+33,1.4264427264754538,1.2858385411615861e-06
1.000000825758511,2.2327917650856957e+33,1.4261092868172962,1.2938237793237442e-06
1.0000008323412453,2.210241824811738e+33,1.4258468789377974,1.3001364004702714e-06
1.0000008389239796,2.188027105591799e+33,1.4255857409314432,1.3064593518897242e-06
1.000000845506714,2.1661415714507063e+33,1.4253258668890645,1.3128046740329061e-06
1.0000008521682002,2.144322970215307e+33,1.4250641607679302,1.3192278720558647e-06
1.0000008588296865,2.1228284424629635e+33,1.424803724855121,1.3256409321431302e-06
1.0000008654911727,2.1016514633875551e+33,1.4245445447032417,1.332048411458453e-06
1.0000008723851994,2.0800630295577145e+33,1.4242776266427166,1.3386850328134181e-06
1.000000879279226,2.0588015632588808e+33,1.4240120296473169,1.3453297251964786e-06
1.0000008861732528,2.0378606147737675e+33,1.423747741721747,1.351974033926949e-06
1.000000894643974,2.0125598362438537e+33,1.4234247831842244,1.3601438568697025e-06
1.0000009031146952,1.987722057543849e+33,1.4231037609735213,1.3683190005445545e-06
1.0000009115854165,1.9633359577381545e+33,1.4227846499563055,1.376488036106221e-06
1.0000009181294796,1.944798729668729e+33,1.4225394130261686,1.3827914729278156e-06
1.0000009246735426,1.9265195610260016e+33,1.422295290345072,1.3891053756007008e-06
1.0000009312176057,1.9084941470215205e+33,1.4220522777018838,1.3954427360135646e-06
1.0000009377699712,1.8906956086846848e+33,1.4218100611187297,1.4017893527380357e-06
1.0000009443223368,1.8731422701263505e+33,1.421568937744368,1.4081247507997525e-06
1.0000009508747023,1.855829530947105e+33,1.4213288957917132,1.414454149702946e-06
1.0000009577603188,1.8378907766667608e+33,1.4210778002326379,1.4211108441160458e-06
1.0000009646459354,1.8202081107732656e+33,1.4208278790738922,1.4277752460205097e-06
1.0000009715315519,1.8027767581903397e+33,1.4205791221019144,1.4344384260459677e-06
1.000000980041916,1.7815724728278767e+33,1.4202732599550048,1.4426790692446127e-06
1.0000009885522803,1.7607363789663132e+33,1.4199691418799918,1.4509249592635043e-06
1.0000009970626444,1.7402599275297714e+33,1.419666746369859,1.4591651114363405e-06
1.0000010036829743,1.7245743717547086e+33,1.4194326860729323,1.4655679933179372e-06
1.0000010103033041,1.709097588677161e+33,1.4191996451573017,1.4719803221068496e-06
1.000001016923634,1.693826230873475e+33,1.4189676196746368,1.478414484488273e-06
1.0000010235555854,1.6787305449941606e+33,1.418736198110665,1.4848611943770716e-06
1.0000010301875368,1.6638338699208424e+33,1.4185057783196875,1.4912972736813922e-06
1.0000010368194883,1.6491326299584325e+33,1.4182763499515987,1.497727402492266e-06
1.0000010437763738,1.6339174360999492e+33,1.4180367369182525,1.5044774510879885e-06
1.0000010507332593,1.6189098450741905e+33,1.4177981973618246,1.5112347656692423e-06
1.0000010576901448,1.6041061540490502e+33,1.4175607223334665,1.5179907661344433e-06
1.0000010663182444,1.5860240019321567e+33,1.4172676642464288,1.5263747011764572e-06
1.000001074946344,1.568243164826652e+33,1.4169762131647436,1.5347635611581086e-06
1.0000010835744435,1.550756917973524e+33,1.4166863499447844,1.5431461529749485e-06
1.0000010901821033,1.537560507016196e+33,1.4164654254419007,1.5495578379176198e-06
1.000001096789763,1.5245301359251492e+33,1.4162454122576922,1.5559788953139346e-06
1.0000011033974228,1.511663306128287e+33,1.4160263073721606,1.5624222713023805e-06
1.0000011099603225,1.4990429398812455e+33,1.4158095801513015,1.5688228567891628e-06
1.0000011165232223,1.4865786355867358e+33,1.4155937345766851,1.5752122560826964e-06
1.000001123086122,1.4742677536854416e+33,1.4153787619640088,1.5815954783013e-06
1.0000011300446106,1.4613796073602428e+33,1.4151517772003614,1.588368180221905e-06
1.000001137003099,1.4486582924362503e+33,1.4149257589708353,1.5951478623491145e-06
1.0000011439615875,1.4361009806736566e+33,1.4147006995561593,1.601925699850288e-06
1.0000011526647234,1.4206218263006685e+33,1.4144205494940263,1.6104074933777054e-06
1.0000011613678594,1.4053896034824977e+33,1.414141872627214,1.618894238003621e-06
1.0000011700709954,1.390399031601977e+33,1.4138646521087932,1.6273746706805955e-06
1.0000011767049626,1.3791315629358688e+33,1.4136543082042314,1.6338307178008263e-06
1.0000011833389297,1.3679992551909838e+33,1.4134447929813725,1.6402956687625467e-06
1.0000011899728969,1.3570001721808824e+33,1.4132361038813201,1.646782528490143e-06
1.0000011965307802,1.3462561925075225e+33,1.413030615356728,1.6531957444392204e-06
1.0000012030886636,1.3356383474819743e+33,1.4128259217404922,1.659597803795126e-06
1.000001209646547,1.3251446074398096e+33,1.4126220155332583,1.665993622804122e-06
1.0000012166352048,1.3140959965432224e+33,1.4124055750099087,1.6728140218798235e-06
1.0000012236238627,1.3031839336782317e+33,1.4121900158193532,1.679641108742959e-06
1.0000012306125206,1.2924062062873923e+33,1.4119753312065708,1.6864660829726256e-06
1.000001239416157,1.279017260948923e+33,1.411706125641427,1.6950679289469767e-06
1.0000012482197935,1.2658338137377103e+33,1.411438284158661,1.7036746909711235e-06
1.00000125702343,1.2528516321068761e+33,1.4111717916913649,1.712274826183526e-06
1.0000012636523308,1.2432067072324799e+33,1.410972010949122,1.7187418138425612e-06
1.0000012702812315,1.2336717994761617e+33,1.4107729796948008,1.725217568065149e-06
1.0000012769101323,1.224245419547594e+33,1.4105746959280807,1.7317155250532453e-06
1.000001283409355,1.2151072956500817e+33,1.4103810127887362,1.738086909623075e-06
1.0000012899085777,1.2060704142346764e+33,1.4101880376879437,1.7444468334211187e-06
1.0000012964078004,1.1971332330510866e+33,1.4099957642315406,1.7508003516827184e-06
1.000001303395672,1.1876336629266911e+33,1.4097898114513228,1.7576358529316326e-06
1.0000013103835437,1.1782459364242754e+33,1.4095846586687817,1.764477852489715e-06
1.0000013173714153,1.168968324904234e+33,1.4093803000055285,1.7713173911273914e-06
1.0000013262717906,1.1573082591794977e+33,1.4091211503537426,1.780033079882144e-06
1.000001335172166,1.1458206606842678e+33,1.4088632678106925,1.788753796877489e-06
1.0000013440725413,1.134502103170996e+33,1.4086066388475873,1.7974675689763688e-06
1.0000013506936818,1.1261896812308036e+33,1.408416532978694,1.80394068884752e-06
1.0000013573148223,1.1179675790541712e+33,1.4082271072925572,1.81042247008408e-06
1.0000013639359628,1.1098346398341401e+33,1.4080383602449074,1.8169268089219246e-06
1.000001370370834,1.1020147749617041e+33,1.4078555700714674,1.8232485585831232e-06
1.000001376805705,1.0942767641835765e+33,1.4076734119738292,1.8295585717128074e-06
1.000001383240576,1.0866194256668994e+33,1.40749188048017,1.8358620594682015e-06
1.0000013902213116,1.0784024523183984e+33,1.407295653365679,1.8427043995986644e-06
1.0000013972020472,1.070277748004379e+33,1.407100154070622,1.8495530478299384e-06
1.0000014041827827,1.0622439510688051e+33,1.406905377466775,1.8563988916546466e-06
1.0000014131879214,1.052012440582729e+33,1.4066551742810462,1.8652341870622618e-06
1.00000142219306,1.041927184345863e+33,1.4064061547086626,1.8740747429307057e-06
1.0000014311981986,1.0319853722177102e+33,1.4061583065019445,1.8829079627729316e-06
1.000001437798216,1.0247883350685101e+33,1.4059773907638209,1.8893721264780118e-06
1.0000014443982335,1.017665786288211e+33,1.405797092217111,1.895844956224022e-06
1.0000014509982509,1.0106168255259276e+33,1.4056174097436378,1.9023409642865709e-06
1.0000014573452456,1.0039066160313359e+33,1.4054451940586727,1.90858817761833e-06
1.0000014636922403,9.972626481992662e+32,1.4052735405693237,1.914823307126778e-06
1.000001470039235,9.906840166508465e+32,1.405102444605864,1.9210518035307922e-06
1.000001476993632,9.835498191927182e+32,1.4049156106676306,1.9278803646140427e-06
1.0000014839480291,9.764919684472333e+32,1.4047294378121813,1.9347150448877602e-06
1.0000014909024262,9.695093895533502e+32,1.4045439215781657,1.941546549514306e-06
1.0000015000225329,9.604646123355938e+32,1.4043016196119988,1.9505096762463025e-06
1.0000015091426395,9.515451499180441e+32,1.4040604297393013,1.959478458948791e-06
1.0000015182627462,9.427486668449013e+32,1.4038203407769168,1.968439361358723e-06
1.0000015248254635,9.364936106051928e+32,1.4036482500806313,1.9748768299985447e-06
1.0000015313881807,9.30300185145499e+32,1.4034767187316877,1.9813231235502183e-06
1.000001537950898,9.241676903519218e+32,1.4033057460199188,1.9877935488396025e-06
1.0000015441819936,9.184007829339484e+32,1.4031439275446633,1.9939370962788335e-06
1.0000015504130892,9.126874176353278e+32,1.4029826063307553,2.0000681243424166e-06
1.0000015566441849,9.07026903056117e+32,1.4028217784110106,2.0061923728880008e-06
1.0000015635476251,9.008165368969997e+32,1.402644169218141,2.0129813242035603e-06
1.0000015704510654,8.946694036250676e+32,1.4024671584607589,2.0197762461331207e-06
1.0000015773545057,8.885846554175356e+32,1.40229074227869,2.0265676402836596e-06
1.000001586605229,8.805273220929786e+32,1.4020552664392545,2.0356725366399314e-06
1.0000015958559523,8.725785594314172e+32,1.4018208426387724,2.044783622343382e-06
