QFLS_eV,simulation_results-shallow-plateau_alphas-mu-1,simulation_results-shallow_photodoping_alphas-mu-1,simulation_results-no-photodopgin_alphas-mu-1,simulation_results-trap-high-Nt_alphas-mu-1,simulation_results-trap-low-Nt_alphas-mu-1
1.04794837578287,0.587257428494203,0.365028839654528,0.365534496346833,0.0105996901911225,0.000301080758158987
1.05026006915448,0.578594858371848,0.365760729752981,0.364758989141018,0.0106520678926734,0.000309449771527915
1.05257176252609,0.565230235882573,0.366244028696865,0.364396748008101,0.0107044455942236,0.000318685393346404
1.0548834558977,0.552112344977016,0.366591683583388,0.364769697609706,0.0107568232957734,0.000349382920880501
1.0571951492693,0.542774650198821,0.366175949458511,0.36485356651072,0.010809200997324,0.000390224275338219
1.05950684264091,0.535103880725491,0.365723942655278,0.36516159068555,0.0109459092550182,0.000426784149260055
1.06181853601252,0.527385958349843,0.365265807037337,0.364972037042845,0.0111231490882994,0.000462343661747328
1.06413022938413,0.518810998375072,0.365065192844393,0.364722378066374,0.0113003889215803,0.000509118376085523
1.06644192275573,0.507539896721416,0.365183566943721,0.365245639675092,0.0114776287548628,0.000555979323365179
1.06875361612734,0.497487397317396,0.366106939022615,0.36507895325327,0.0116485092587298,0.000583101532597282
1.07106530949895,0.489756351460608,0.366421711956879,0.365144269626449,0.0118097300439734,0.000602573723144305
1.07337700287056,0.482213278254685,0.366575362854044,0.365233702337413,0.0119709508292178,0.00061082076900466
1.07568869624216,0.474865359472778,0.366683753717474,0.365376671636722,0.012112108871817,0.000614061050082658
1.07800038961377,0.468415204583691,0.366440815295515,0.365166532414703,0.0122431903965651,0.00061730133116084
1.08031208298538,0.461776937257173,0.366235459473869,0.364892949730504,0.0123837386494922,0.00060059987826653
1.08262377635698,0.456765451271973,0.366097370827041,0.364589927563008,0.0125243531721294,0.000484641003068025
1.08493546972859,0.451366931563889,0.365919102930685,0.364337918332688,0.0126649676947669,0.000367943840557593
1.0872471631002,0.441335015894745,0.365867504338117,0.364264146878988,0.012805582217404,0.000261689891288173
