QFLS_eV,mean_deriv_all_folders
1.08262377635698,-0.234888751097365
1.08493546972859,-0.233718208258387
1.0872471631002,-0.231679879000632
1.08955885647181,-0.227876355673319
1.09187054984341,-0.221597544018646
1.09418224321502,-0.213691240145386
1.09649393658663,-0.205644321088734
1.09880562995824,-0.197750913699933
1.10111732332984,-0.191719872784938
1.10342901670145,-0.185851719560169
1.10574071007306,-0.180734796669787
1.10805240344467,-0.176782912205173
1.11036409681627,-0.17282742518011
1.11267579018788,-0.168964476739743
1.11498748355949,-0.166641892774856
1.1172991769311,-0.164358190697978
1.1196108703027,-0.161980795390538
1.12192256367431,-0.159610065479257
1.12423425704592,-0.157730435773768
1.12654595041753,-0.156370247865663
1.12885764378913,-0.154974486393443
1.13116933716074,-0.153695667358645
1.13348103053235,-0.152318461763625
1.13579272390396,-0.150881525788471
1.13810441727556,-0.149831096978768
1.14041611064717,-0.148495442966999
1.14272780401878,-0.14725714689079
1.14503949739038,-0.146076768204127
1.14735119076199,-0.145111467330249
1.1496628841336,-0.144275032267657
1.15197457750521,-0.143988852330503
1.15428627087681,-0.143654673172845
1.15659796424842,-0.143092815503707
1.15890965762003,-0.14243636930342
1.16122135099164,-0.141516710789458
1.16353304436324,-0.140680317989281
1.16584473773485,-0.13991001036505
1.16815643110646,-0.139335446927821
1.17046812447807,-0.138799095023161
1.17277981784967,-0.138428767659999
1.17509151122128,-0.138073980098626
1.17740320459289,-0.13757575813043
1.1797148979645,-0.137104794759173
1.1820265913361,-0.136503828093459
1.18433828470771,-0.135966986844992
1.18664997807932,-0.135471621221364
1.18896167145093,-0.135174463222422
1.19127336482253,-0.13495970643437
1.19358505819414,-0.134822456752448
1.19589675156575,-0.134663030052825
1.19820844493735,-0.13438645636574
1.20052013830896,-0.134050243566764
1.20283183168057,-0.133485946069932
1.20514352505218,-0.132892082998991
1.20745521842378,-0.132206584431412
1.20976691179539,-0.131567350357082
1.212078605167,-0.130949117177201
1.21439029853861,-0.130455912520048
1.21670199191021,-0.130037544992038
1.21901368528182,-0.129490333951815
1.22132537865343,-0.129057538813363
1.22363707202504,-0.12845253136067
1.22594876539664,-0.127805837166483
1.22826045876825,-0.127028819381991
1.23057215213986,-0.126362109565865
1.23288384551147,-0.125721763119107
1.23519553888307,-0.125130037776416
1.23750723225468,-0.124674069493503
1.23981892562629,-0.124042285692684
1.2421306189979,-0.123330195022908
1.2444423123695,-0.12255005656804
1.24675400574111,-0.121823044187094
1.24906569911272,-0.121035764365628
1.25137739248433,-0.120081696252449
1.25368908585593,-0.119121119764128
1.25600077922754,-0.118401062421325
1.25831247259915,-0.117728312171045
1.26062416597075,-0.116877663925926
1.26293585934236,-0.116028061749167
1.26524755271397,-0.11518598164608
1.26755924608558,-0.11440849084083
1.26987093945718,-0.113719210701558
1.27218263282879,-0.11308211910796
1.2744943262004,-0.112201438475597
1.27680601957201,-0.111240248376736
1.27911771294361,-0.110461101113956
1.28142940631522,-0.10956415941791
1.28374109968683,-0.108500479936111
1.28605279305844,-0.107652065549466
1.28836448643004,-0.106937150174452
1.29067617980165,-0.10623421944387
1.29298787317326,-0.105473735578237
1.29529956654487,-0.104711337123888
1.29761125991647,-0.103872705863091
1.29992295328808,-0.102937550641282
1.30223464665969,-0.102100168627327
1.3045463400313,-0.101284893702025
1.3068580334029,-0.100697376038287
1.30916972677451,-0.100198245062672
1.31148142014612,-0.0998253874327245
1.31379311351772,-0.0996077934153281
1.31610480688933,-0.0992455517821347
1.31841650026094,-0.0989194121911829
1.32072819363255,-0.0986739607718998
1.32303988700415,-0.0984085712333638
1.32535158037576,-0.0984638873324568
1.32766327374737,-0.0984648057154337
1.32997496711898,-0.0989177573616584
1.33228666049058,-0.099429483410089
1.33459835386219,-0.0997498191350093
1.3369100472338,-0.10033673457894
1.33922174060541,-0.100940945208159
1.34153343397701,-0.101714855544634
1.34384512734862,-0.102820942241641
1.34615682072023,-0.103987448159248
1.34846851409184,-0.105296814141321
1.35078020746344,-0.107059385116933
1.35309190083505,-0.108969815987546
1.35540359420666,-0.11140172879508
1.35771528757827,-0.113932020754285
1.36002698094987,-0.116698533903927
1.36233867432148,-0.119794337653032
1.36465036769309,-0.123174714582196
1.3669620610647,-0.127136344828275
1.3692737544363,-0.131339765274013
1.37158544780791,-0.135930811096746
1.37389714117952,-0.140943275737274
1.37620883455112,-0.146544573765375
1.37852052792273,-0.152977906012417
1.38083222129434,-0.159900319943604
1.38314391466595,-0.168074747893578
1.38545560803755,-0.184881527377031
1.38776730140916,-0.240541466756374
1.39007899478077,-0.306118510582479
1.39239068815238,-0.360250093120921
1.39470238152398,-0.414752544633863
1.39701407489559,-0.482673036901592
1.3993257682672,-0.573473588318733
1.40163746163881,-0.706803845664531
1.40394915501041,-0.825600601941658
1.40626084838202,-0.888448569669692
1.40857254175363,-0.925906557098078
1.41088423512524,-0.955930495774849
1.41319592849684,-0.977672245226325
1.41550762186845,-0.986838440945304
1.41781931524006,-0.981092484224492
1.42013100861167,-0.951555136013823
1.42244270198327,-0.928416774437765
1.42475439535488,-0.924254723675194
1.42706608872649,-0.932216550938313
1.4293777820981,-0.948429541246534
1.4316894754697,-0.969443469571334
1.43400116884131,-0.993794863381372
1.43631286221292,-1.02004839658199
1.43862455558452,-1.04733612745929
1.44093624895613,-1.07514849371264
1.44324794232774,-1.10298144188741
1.44555963569935,-1.13088064911396
1.44787132907095,-1.15868012368945
1.45018302244256,-1.18643657664666
1.45249471581417,-1.21391454648404
1.45480640918578,-1.24145260694917
1.45711810255738,-1.26893840070781
1.45942979592899,-1.29618303864885
1.4617414893006,-1.32414402918399
1.46405318267221,-1.356601308039
1.46636487604381,-1.38926215207076
1.46867656941542,-1.42041306672362
1.47098826278703,-1.45111503101712
1.47329995615864,-1.4741662773477
1.47561164953024,-1.46955148457119
1.47792334290185,-1.48233079445763
1.48023503627346,-1.50628561121526
1.48254672964507,-1.53449094540747
1.48485842301667,-1.56600787065224
1.48717011638828,-1.59918004598087
1.48948180975989,NaN
