Time (s),PL (norm.),QFLS (eV),tau_diff(s)
1.0000003644011608,2.689634398781179e+33,1.4309215165958566,4.3695097847228885e-07
1.000000389526249,2.398444071091727e+33,1.4279593784750069,4.3963055572821945e-07
1.0000004146513373,2.1399948778192783e+33,1.4250119304906448,4.413874814599146e-07
1.0000004397764255,1.9100479118579102e+33,1.4220733152478284,4.4228834901552184e-07
1.0000004748706193,1.6299571023041986e+33,1.4179740024975551,4.42387282426441e-07
1.000000509964813,1.3907064380563932e+33,1.4138703669328962,4.413887248537485e-07
1.0000005450590068,1.1859205985516934e+33,1.4097524965809058,4.3941657421588844e-07
1.0000005801532006,1.0104038735470752e+33,1.405611961979913,4.366379897771869e-07
1.0000006152473944,8.598689417692393e+32,1.4014415385381134,4.331966282753776e-07
1.0000006503415881,7.307393077378119e+32,1.3972349807753859,4.292173272960164e-07
1.000000685435782,6.200047109131196e+32,1.3929868938111902,4.247867662209695e-07
1.000000731963812,4.972413952556495e+32,1.3872828328324591,4.1842270476157677e-07
1.000000778491842,3.9739572394232705e+32,1.3814885110292903,4.116940825504955e-07
1.0000008250198722,3.1640134904392827e+32,1.3755965234393763,4.0472658363102635e-07
1.0000008715479023,2.50907921917968e+32,1.3696010180437233,3.9765216985362265e-07
1.0000009180759324,1.9814202596825178e+32,1.3634975465225463,3.905776166448556e-07
1.0000009646039625,1.5580125646475795e+32,1.357282891712482,3.835881963538311e-07
1.0000010111319926,1.2197264262658715e+32,1.350954969692188,3.7674943105458877e-07
1.0000010691437646,8.93353664535368e+31,1.3429049856529482,3.6851627294660617e-07
1.0000011271555367,6.498246252052746e+31,1.334677128745352,3.606689754854946e-07
1.0000011851673087,4.694692815219931e+31,1.3262729776759083,3.5324509032221334e-07
1.0000012431790808,3.3690514424529494e+31,1.3176955784232403,3.462696330794248e-07
1.0000013011908528,2.4019924597588054e+31,1.3089493411098057,3.397523134783007e-07
1.000001359202625,1.7017246677870139e+31,1.3000396301356985,3.336931481167748e-07
1.0000014210751147,1.1704059745841206e+31,1.2903638187128517,3.277254201650356e-07
1.0000014829476045,7.996889068016663e+30,1.280517607913928,3.22254530021074e-07
1.0000015448200943,5.430007335063263e+30,1.2705103726350493,3.1727464829713567e-07
1.000001606692584,3.665640238397528e+30,1.2603525459733056,3.1276840798106734e-07
1.0000016564729217,2.661607301903042e+30,1.2520783434824392,3.095145561260157e-07
1.0000017062532593,1.926430184068043e+30,1.2437217092957007,3.066163223647338e-07
1.000001756033597,1.3902934297416187e+30,1.2352903069142165,3.040818700960671e-07
1.0000018058139346,1.0008409069593951e+30,1.2267937483138542,3.019711640234768e-07
1.0000018555942722,7.190025626427024e+29,1.2182440235416991,3.0032265658692065e-07
1.0000018956777197,5.502773204927335e+29,1.2113303661386738,2.994147758173306e-07
1.0000019357611671,4.2089119205974976e+29,1.2044010567448336,2.9897512044924174e-07
1.0000019758446146,3.218689053032974e+29,1.1974670426825202,2.9906948190758406e-07
1.000002015928062,2.4622986738440153e+29,1.1905421074007108,2.998326002518276e-07
1.0000020560115095,1.8855693115995288e+29,1.1836433664156665,3.014207689052423e-07
1.000002096094957,1.4465313499543157e+29,1.1767912672871246,3.040373154171412e-07
1.0000021361784044,1.1128015407715744e+29,1.1700108660943045,3.0795435336532194e-07
1.0000021762618518,8.594411769094071e+28,1.1633321661091867,3.135124935196936e-07
1.0000022163452993,6.672900836615606e+28,1.1567903760474862,3.211511851802341e-07
1.0000022564287467,5.216700546662859e+28,1.1504261299760672,3.3143180028253135e-07
1.0000022965121942,4.113579776423646e+28,1.144284669604722,3.450595547590665e-07
1.0000023365956416,3.2779220825637007e+28,1.1384143229040262,3.6291979539626337e-07
1.000002376679089,2.644561183491343e+28,1.1328639952499249,3.86107472603918e-07
1.0000024167625365,2.1639880013143287e+28,1.1276795169387916,4.1595394839861894e-07
1.000002456845984,1.798664981176241e+28,1.1228994575502895,4.5404748061058045e-07
1.0000024969294314,1.5201843636754081e+28,1.1185509808778566,5.022262481793468e-07
1.000002537012879,1.3070838344794128e+28,1.1146466256539962,5.625330598828447e-07
1.0000025770963263,1.1431761928879872e+28,1.1111829005005125,6.371100131367569e-07
1.0000026171797738,1.0162716048160914e+28,1.1081410163955203,7.280074735620525e-07
1.0000026572632212,9.172034753762173e+27,1.1054895677386243,8.369006350469675e-07
1.0000026973466687,8.390879116925469e+27,1.1031884705058908,9.647254330977894e-07
1.0000027374301161,7.767612627982787e+27,1.1011932273935574,1.1112853071153822e-06
1.0000027775135636,7.263541392689252e+27,1.0994587453186755,1.2749304753172284e-06
1.000002817597011,6.849694224756068e+27,1.0979422353744837,1.451739414581095e-06
1.000002862476343,6.466861206687821e+27,1.0964554628795735,1.6601590022548393e-06
1.000002907355675,6.147659260007465e+27,1.0951468992393496,1.8732395192608076e-06
1.0000029522350071,5.87589451356185e+27,1.0939780955160545,2.0822374549284238e-06
1.0000029971143392,5.639851489367473e+27,1.092918189714369,2.2802420590888563e-06
1.0000030419936712,5.431041900188218e+27,1.0919429157724947,2.462379559285294e-06
1.0000030868730032,5.243313941141952e+27,1.091033548318784,2.6259253899219486e-06
1.0000031330787298,5.067345069793961e+27,1.0901510803740366,2.774516974349422e-06
1.0000031792844564,4.9054129824760967e+27,1.089311498320437,2.904327745655244e-06
1.000003225490183,4.754920402807325e+27,1.0885059984929575,3.0173127973001733e-06
1.0000032716959095,4.613953786507206e+27,1.0877280174975776,3.116012402245675e-06
1.000003317901636,4.4810887321371925e+27,1.0869726743804957,3.2030190864726766e-06
1.0000033641073627,4.355251794708989e+27,1.0862363445408751,3.2802874146891664e-06
1.0000034222352436,4.2056768890603224e+27,1.085332925168573,3.3674550515476666e-06
1.0000034803631246,4.064683036163256e+27,1.0844514193347297,3.446846216500732e-06
1.0000035384910055,3.9313345319371487e+27,1.0835891121219408,3.5203289917982606e-06
1.0000035966188865,3.804891702463563e+27,1.0827440063582512,3.5895376273789447e-06
